year,Neighborhood,number_of_incidents,location,Lat,Long
2021,Charlestown,1403,"(42.379822, -71.064941)",42.379822,-71.064941
2021,East Boston,3264,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2021,Roxbury,9929,"(42.315198, -71.091375)",42.315198,-71.091375
2021,Mattapan,7422,"(42.277142, -71.091375)",42.277142,-71.091375
2021,Dorchester,9119,"(42.302708, -71.072105)",42.302708,-71.072105
2021,South Boston,6020,"(42.338144, -71.047577)",42.338144,-71.047577
2021,Brighton,4976,"(42.34635, -71.162676)",42.34635,-71.162676
2021,Fenway/South End,9245,"(42.346268, -71.095764)",42.346268,-71.095764
2021,Jamaica Plain,3802,"(42.309737, -71.115143)",42.309737,-71.115143
2021,Hyde Park,3995,"(42.256529, -71.124056)",42.256529,-71.124056
2021,West Roxbury,3326,"(42.279755, -71.162676)",42.279755,-71.162676
2022,Downtown,6830,"(42.355496, -71.059434)",42.355496,-71.059434
2022,Charlestown,1201,"(42.379822, -71.064941)",42.379822,-71.064941
2022,East Boston,2927,"(42.3750973, -71.0392173)",42.3750973,-71.0392173
2022,Roxbury,8041,"(42.315198, -71.091375)",42.315198,-71.091375
2022,Mattapan,5786,"(42.277142, -71.091375)",42.277142,-71.091375
2022,Dorchester,7301,"(42.302708, -71.072105)",42.302708,-71.072105
2022,South Boston,4913,"(42.338144, -71.047577)",42.338144,-71.047577
2022,Brighton,4571,"(42.34635, -71.162676)",42.34635,-71.162676
2022,Fenway/South End,7636,"(42.346268, -71.095764)",42.346268,-71.095764
2022,Jamaica Plain,3441,"(42.309737, -71.115143)",42.309737,-71.115143
2022,Hyde Park,3308,"(42.256529, -71.124056)",42.256529,-71.124056
2022,West Roxbury,2913,"(42.279755, -71.162676)",42.279755,-71.162676
